race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances,c1,c2,c3,c4,c5
Bahrain,25,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.264,10.976,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,11,0,33,1,0,0,57,0.438596491,0.192982456,0.578947368,5412,1,1,1,0,0
Bahrain,26,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.444,11.049,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,12,0,33,1,0,0,57,0.456140351,0.210526316,0.578947368,5412,1,1,1,0,0
Bahrain,27,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.846,11.11,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,13,0,33,1,0,0,57,0.473684211,0.228070175,0.578947368,5412,1,1,1,0,0
Bahrain,28,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.729,10.788,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,14,0,33,1,0,0,57,0.49122807,0.245614035,0.578947368,5412,1,1,1,0,0
Bahrain,29,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,98.953,10.854,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,15,0,33,1,0,0,57,0.50877193,0.263157895,0.578947368,5412,1,1,1,0,0
Bahrain,30,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,99.004,10.504,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,16,0,33,1,0,0,57,0.526315789,0.280701754,0.578947368,5412,1,1,1,0,0
Bahrain,31,SAI,825,Ferrari,Ferrari 066/7,3,90.687,2,99.105,8.064,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,17,0,33,1,0,0,57,0.543859649,0.298245614,0.578947368,5412,1,1,1,0,0
Bahrain,32,SAI,825,Ferrari,Ferrari 066/7,3,90.687,1,99.386,0,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softnew,0,1,0,18,0,33,1,0,0,57,0.561403509,0.315789474,0.578947368,5412,1,1,1,0,0
Bahrain,33,SAI,825,Ferrari,Ferrari 066/7,3,90.687,1,101.915,0,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,0,1,44,0,1,0,57,0.578947368,0,0.771929825,5412,1,1,1,0,0
Bahrain,34,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,117.101,17.068,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,24.438,2,0,1,0,44,0,1,0,57,0.596491228,0.01754386,0.771929825,5412,1,1,1,0,0
Bahrain,35,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,96.454,17.021,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,2,0,44,0,1,0,57,0.614035088,0.035087719,0.771929825,5412,1,1,1,0,0
Bahrain,36,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,96.6,17.06,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,3,0,44,0,1,0,57,0.631578947,0.052631579,0.771929825,5412,1,1,1,0,0
Bahrain,37,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,96.893,17.29,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,4,0,44,0,1,0,57,0.649122807,0.070175439,0.771929825,5412,1,1,1,0,0
Bahrain,38,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.012,17.679,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,5,0,44,0,1,0,57,0.666666667,0.087719298,0.771929825,5412,1,1,1,0,0
Bahrain,39,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.044,17.784,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,6,0,44,0,1,0,57,0.684210526,0.105263158,0.771929825,5412,1,1,1,0,0
Bahrain,40,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.271,18.248,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,7,0,44,0,1,0,57,0.701754386,0.122807018,0.771929825,5412,1,1,1,0,0
Bahrain,41,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,96.771,17.975,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,8,0,44,0,1,0,57,0.719298246,0.140350877,0.771929825,5412,1,1,1,0,0
Bahrain,42,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.269,18.204,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,9,0,44,0,1,0,57,0.736842105,0.157894737,0.771929825,5412,1,1,1,0,0
Bahrain,43,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,97.26,18.118,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Mediumnew,0,2,0,10,0,44,0,1,0,57,0.754385965,0.175438596,0.771929825,5412,1,1,1,0,0
Bahrain,52,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,95.74,3.071,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,8,0,0,1,0,0,57,0.912280702,0.140350877,0,5412,1,1,1,0,0
Bahrain,53,SAI,825,Ferrari,Ferrari 066/7,3,90.687,3,95.88,3.824,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,9,0,0,1,0,0,57,0.929824561,0.157894737,0,5412,1,1,1,0,0
Bahrain,54,SAI,825,Ferrari,Ferrari 066/7,3,90.687,2,96.565,4.96,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,10,0,0,1,0,0,57,0.947368421,0.175438596,0,5412,1,1,1,0,0
Bahrain,55,SAI,825,Ferrari,Ferrari 066/7,3,90.687,2,96.075,5.608,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,11,0,0,1,0,0,57,0.964912281,0.192982456,0,5412,1,1,1,0,0
Bahrain,56,SAI,825,Ferrari,Ferrari 066/7,3,90.687,2,95.767,5.702,2,18,30.754,41.222,23.654,95.63,238.2,265.8,287.9,313.8,Softused,0,1,1,12,0,0,1,0,0,57,0.98245614,0.210526316,0,5412,1,1,1,0,0
